time,G(i),H_sun,T2m,WS10m,Int
20080707:2100,642.74,60.91,27.61,2.08,0.0
20080707:2200,519.22,49.7,27.05,2.17,0.0
20080707:2300,328.88,38.0,26.49,2.26,0.0
20080708:0000,6.29,26.28,25.94,2.34,0.0
20080708:0100,2.02,14.84,25.09,2.69,0.0
20080708:0200,10.08,3.91,24.25,3.03,0.0
20080708:0300,0.0,0.0,23.4,3.37,0.0
20080708:0400,0.0,0.0,22.41,2.51,0.0
20080708:0500,0.0,0.0,21.43,1.66,0.0
20080708:0600,0.0,0.0,20.44,0.81,0.0
20080708:0700,0.0,0.0,19.61,1.09,0.0
20080708:0800,0.0,0.0,18.77,1.37,0.0
20080708:0900,0.0,0.0,17.94,1.64,0.0
20080708:1000,0.0,0.0,17.44,1.73,0.0
20080708:1100,0.0,0.0,16.94,1.82,0.0
20080708:1200,10.08,1.89,16.44,1.9,0.0
20080708:1300,39.66,12.68,18.83,1.45,0.0
20080708:1400,95.43,24.04,21.23,0.99,0.0
20080708:1500,294.35,35.71,23.62,0.54,0.0
20080708:1600,486.82,47.43,24.76,1.11,0.0
20080708:1700,644.32,58.78,25.91,1.68,0.0
20080708:1800,749.89,68.73,27.05,2.25,0.0
20080708:1900,675.46,74.0,27.33,2.4,0.0
20080708:2000,764.22,70.28,27.61,2.55,0.0
20080708:2100,620.6,60.86,27.89,2.7,0.0
20080708:2200,467.57,49.67,27.79,2.92,0.0
20080708:2300,255.67,37.98,27.7,3.14,0.0
20080709:0000,158.16,26.24,27.61,3.37,0.0
20080709:0100,50.41,14.8,25.93,3.19,0.0
20080709:0200,15.46,3.86,24.26,3.02,0.0
20080709:0300,0.0,0.0,22.59,2.84,0.0
20080709:0400,0.0,0.0,21.26,2.37,0.0
20080709:0500,0.0,0.0,19.92,1.89,0.0
20080709:0600,0.0,0.0,18.59,1.42,0.0
20080709:0700,0.0,0.0,17.87,1.34,0.0
20080709:0800,0.0,0.0,17.15,1.26,0.0
20080709:0900,0.0,0.0,16.43,1.19,0.0
20080709:1000,0.0,0.0,15.86,1.31,0.0
20080709:1100,0.0,0.0,15.29,1.44,0.0
20080709:1200,8.74,1.78,14.72,1.57,0.0
20080709:1300,40.33,12.58,17.69,1.32,0.0
20080709:1400,97.62,23.95,20.65,1.07,0.0
20080709:1500,303.42,35.62,23.62,0.81,0.0
20080709:1600,502.26,47.34,25.38,1.49,0.0
20080709:1700,664.61,58.68,27.14,2.16,0.0
20080709:1800,772.19,68.62,28.9,2.83,0.0
20080709:1900,813.65,73.88,29.63,3.18,0.0
20080709:2000,785.89,70.2,30.35,3.54,0.0
20080709:2100,690.05,60.82,31.08,3.89,0.0
20080709:2200,538.05,49.63,30.9,3.96,0.0
20080709:2300,344.64,37.95,30.72,4.03,0.0
20080710:0000,138.36,26.2,30.54,4.1,0.0
20080710:0100,45.03,14.75,28.43,3.96,1.0
20080710:0200,16.8,3.81,26.33,3.83,0.0
20080710:0300,0.0,0.0,24.23,3.7,0.0
20080710:0400,0.0,0.0,22.77,3.26,0.0
20080710:0500,0.0,0.0,21.32,2.81,0.0
20080710:0600,0.0,0.0,19.86,2.37,0.0
20080710:0700,0.0,0.0,19.0,2.33,0.0
20080710:0800,0.0,0.0,18.15,2.28,0.0
20080710:0900,0.0,0.0,17.29,2.23,0.0
20080710:1000,0.0,0.0,16.93,2.34,0.0
20080710:1100,0.0,0.0,16.57,2.46,0.0
20080710:1200,8.74,1.68,16.21,2.57,0.0
20080710:1300,41.0,12.48,19.74,2.37,0.0
20080710:1400,98.17,23.85,23.27,2.18,0.0
20080710:1500,307.45,35.53,26.8,1.99,0.0
20080710:1600,508.85,47.24,28.9,1.71,0.0
20080710:1700,672.83,58.58,31.0,1.44,1.0
20080710:1800,780.21,68.5,33.1,1.17,0.0
20080710:1900,774.09,73.76,33.77,1.31,0.0
20080710:2000,789.93,70.11,34.43,1.46,0.0
20080710:2100,631.01,60.77,35.1,1.6,0.0
20080710:2200,537.78,49.59,34.86,1.72,0.0
20080710:2300,342.89,37.91,34.63,1.84,0.0
20080711:0000,151.03,26.16,34.4,1.96,0.0
20080711:0100,4.7,14.71,32.91,2.74,0.0
20080711:0200,4.7,3.75,31.43,3.51,0.0
20080711:0300,0.0,0.0,29.94,4.29,0.0
20080711:0400,0.0,0.0,27.74,4.0,0.0
20080711:0500,0.0,0.0,25.53,3.71,0.0
20080711:0600,0.0,0.0,23.33,3.42,0.0
20080711:0700,0.0,0.0,22.04,3.14,0.0
20080711:0800,0.0,0.0,20.74,2.86,0.0
20080711:0900,0.0,0.0,19.45,2.58,0.0
20080711:1000,0.0,0.0,18.91,2.77,0.0
20080711:1100,0.0,0.0,18.37,2.96,0.0
20080711:1200,8.07,1.57,17.83,3.14,0.0
20080711:1300,41.0,12.38,21.11,2.9,0.0
20080711:1400,99.43,23.75,24.4,2.65,0.0
20080711:1500,310.25,35.43,27.68,2.4,0.0
20080711:1600,511.89,47.14,29.66,1.97,0.0
20080711:1700,675.57,58.47,31.63,1.54,0.0
20080711:1800,756.06,68.38,33.61,1.12,0.0
20080711:1900,787.84,73.63,34.22,1.13,0.0
20080711:2000,623.07,70.02,34.83,1.14,0.0
20080711:2100,656.36,60.71,35.44,1.16,0.0
20080711:2200,172.89,49.55,34.91,1.43,0.0
20080711:2300,205.12,37.87,34.38,1.7,0.0
20080712:0000,142.54,26.11,33.86,1.97,0.0
20080712:0100,61.84,14.65,32.11,2.28,0.0
20080712:0200,8.74,3.69,30.37,2.59,0.0
20080712:0300,0.0,0.0,28.63,2.9,0.0
20080712:0400,0.0,0.0,27.85,3.28,0.0
20080712:0500,0.0,0.0,27.08,3.67,0.0
20080712:0600,0.0,0.0,26.3,4.06,0.0
20080712:0700,0.0,0.0,24.91,4.26,0.0
20080712:0800,0.0,0.0,23.53,4.47,0.0
20080712:0900,0.0,0.0,22.14,4.68,0.0
20080712:1000,0.0,0.0,21.42,4.1,0.0
20080712:1100,0.0,0.0,20.69,3.52,0.0
20080712:1200,8.07,1.45,19.97,2.94,0.0
20080712:1300,39.66,12.28,20.76,2.75,0.0
20080712:1400,99.42,23.65,21.55,2.56,0.0
20080712:1500,101.68,35.33,22.34,2.37,0.0
20080712:1600,363.1,47.04,23.91,2.51,0.0
20080712:1700,659.58,58.37,25.47,2.64,0.0
20080712:1800,766.98,68.25,27.04,2.77,0.0
20080712:1900,808.61,73.49,27.95,2.89,0.0
20080712:2000,780.34,69.93,28.86,3.01,0.0
20080712:2100,583.88,60.64,29.77,3.13,0.0
20080712:2200,535.07,49.5,29.78,3.46,0.0
20080712:2300,332.07,37.82,29.8,3.79,0.0
20080713:0000,162.86,26.06,29.82,4.12,0.0
20080713:0100,3.36,14.59,27.99,4.14,0.0
20080713:0200,0.0,0.0,26.17,4.15,0.0
20080713:0300,0.0,0.0,24.34,4.17,0.0
20080713:0400,0.0,0.0,23.08,3.67,0.0
20080713:0500,0.0,0.0,21.83,3.17,0.0
20080713:0600,0.0,0.0,20.57,2.68,0.0
20080713:0700,0.0,0.0,19.8,2.35,0.0
20080713:0800,0.0,0.0,19.03,2.03,0.0
20080713:0900,0.0,0.0,18.26,1.71,0.0
20080713:1000,0.0,0.0,17.78,1.59,0.0
20080713:1100,0.0,0.0,17.31,1.46,0.0
20080713:1200,7.39,1.34,16.83,1.34,0.0
20080713:1300,39.66,12.17,19.19,1.58,0.0
20080713:1400,98.69,23.55,21.54,1.83,0.0
20080713:1500,302.89,35.23,23.9,2.07,0.0
20080713:1600,501.59,46.94,25.96,2.09,0.0
20080713:1700,663.9,58.26,28.03,2.11,1.0
20080713:1800,770.83,68.12,30.09,2.14,0.0
20080713:1900,812.57,73.35,31.05,1.96,0.0
20080713:2000,784.16,69.82,32.02,1.79,0.0
20080713:2100,688.72,60.57,32.98,1.61,0.0
20080713:2200,536.55,49.44,32.82,2.0,0.0
20080713:2300,345.2,37.77,32.67,2.39,0.0
20080714:0000,141.7,26.0,32.52,2.77,0.0
20080714:0100,44.36,14.53,30.78,3.58,0.0
20080714:0200,12.1,3.55,29.05,4.38,1.0
20080714:0300,0.0,0.0,27.32,5.19,0.0
20080714:0400,0.0,0.0,25.89,4.7,0.0
20080714:0500,0.0,0.0,24.47,4.21,0.0
20080714:0600,0.0,0.0,23.04,3.72,0.0
20080714:0700,0.0,0.0,21.68,3.23,0.0
20080714:0800,0.0,0.0,20.32,2.73,0.0
20080714:0900,0.0,0.0,18.96,2.23,0.0
20080714:1000,0.0,0.0,18.39,2.34,0.0
20080714:1100,0.0,0.0,17.83,2.46,0.0
20080714:1200,6.72,1.22,17.26,2.57,0.0
20080714:1300,40.33,12.06,20.56,2.24,0.0
20080714:1400,100.26,23.45,23.85,1.91,0.0
20080714:1500,307.78,35.13,27.15,1.59,0.0
20080714:1600,507.21,46.84,28.87,1.47,0.0
20080714:1700,650.9,58.14,30.59,1.36,0.0
20080714:1800,599.86,67.99,32.31,1.24,0.0
20080714:1900,243.72,73.2,33.03,1.68,0.0
20080714:2000,670.34,69.71,33.76,2.12,0.0
20080714:2100,500.29,60.5,34.48,2.57,0.0
20080714:2200,217.77,49.38,34.13,2.83,0.0
20080714:2300,20.45,37.72,33.78,3.1,0.0
20080715:0000,143.57,25.94,33.44,3.37,0.0
20080715:0100,62.51,14.46,31.71,3.55,0.0
20080715:0200,14.79,3.47,29.99,3.74,0.0
20080715:0300,0.0,0.0,28.26,3.93,0.0
20080715:0400,0.0,0.0,26.92,3.47,0.0
20080715:0500,0.0,0.0,25.57,3.0,0.0
20080715:0600,0.0,0.0,24.23,2.54,0.0
20080715:0700,0.0,0.0,22.64,2.25,0.0
20080715:0800,0.0,0.0,21.04,1.97,0.0
20080715:0900,0.0,0.0,19.45,1.68,0.0
20080715:1000,0.0,0.0,19.08,1.84,0.0
20080715:1100,0.0,0.0,18.71,2.0,0.0
20080715:1200,0.0,0.0,18.34,2.17,0.0
20080715:1300,39.66,11.94,21.47,2.16,0.0
20080715:1400,98.99,23.34,24.59,2.16,0.0
20080715:1500,302.14,35.03,27.72,2.15,0.0
20080715:1600,418.52,46.73,29.13,2.46,0.0
20080715:1700,569.73,58.03,30.54,2.78,0.0
20080715:1800,763.24,67.85,31.95,3.09,0.0
20080715:1900,98.5,73.04,32.3,2.98,0.0
20080715:2000,777.59,69.59,32.65,2.88,0.0
20080715:2100,649.93,60.42,33.0,2.77,0.0
20080715:2200,226.47,49.32,32.8,3.14,0.0
20080715:2300,300.54,37.66,32.6,3.5,0.0
20080716:0000,136.36,25.87,32.4,3.86,0.0
20080716:0100,53.77,14.38,30.72,3.91,0.0
20080716:0200,7.39,3.38,29.05,3.95,0.0
20080716:0300,0.0,0.0,27.38,4.0,0.0
20080716:0400,0.0,0.0,25.98,3.43,0.0
20080716:0500,0.0,0.0,24.57,2.86,0.0
20080716:0600,0.0,0.0,23.17,2.29,0.0
20080716:0700,0.0,0.0,22.28,1.91,0.0
20080716:0800,0.0,0.0,21.4,1.54,0.0
20080716:0900,0.0,0.0,20.51,1.16,0.0
20080716:1000,0.0,0.0,19.92,1.22,0.0
20080716:1100,0.0,0.0,19.34,1.28,0.0
20080716:1200,0.0,0.0,18.75,1.34,0.0
20080716:1300,38.98,11.83,21.98,1.03,0.0
20080716:1400,99.19,23.23,25.21,0.72,0.0
20080716:1500,301.86,34.92,28.44,0.41,0.0
20080716:1600,498.46,46.62,30.12,0.83,0.0
20080716:1700,660.43,57.91,31.79,1.25,0.0
20080716:1800,767.25,67.71,33.47,1.67,0.0
20080716:1900,809.04,72.88,34.07,1.8,0.0
20080716:2000,748.31,69.47,34.68,1.94,0.0
20080716:2100,664.49,60.33,35.28,2.07,0.0
20080716:2200,390.68,49.25,34.9,2.49,0.0
20080716:2300,157.16,37.59,34.53,2.91,0.0
20080717:0000,165.19,25.8,34.16,3.32,0.0
20080717:0100,61.84,14.3,32.35,3.63,0.0
20080717:0200,5.38,3.29,30.55,3.94,0.0
20080717:0300,0.0,0.0,28.75,4.25,0.0
20080717:0400,0.0,0.0,26.96,3.83,0.0
20080717:0500,0.0,0.0,25.18,3.41,0.0
20080717:0600,0.0,0.0,23.39,2.99,0.0
20080717:0700,0.0,0.0,22.41,2.57,0.0
20080717:0800,0.0,0.0,21.43,2.15,0.0
20080717:0900,0.0,0.0,20.45,1.72,0.0
20080717:1000,0.0,0.0,20.21,1.82,0.0
20080717:1100,0.0,0.0,19.97,1.91,0.0
20080717:1200,0.0,0.0,19.73,2.0,0.0
20080717:1300,38.31,11.71,22.33,2.08,0.0
20080717:1400,99.3,23.12,24.94,2.16,0.0
20080717:1500,301.36,34.81,27.54,2.23,0.0
20080717:1600,497.4,46.51,28.84,2.27,0.0
20080717:1700,657.79,57.79,30.14,2.31,0.0
20080717:1800,724.62,67.56,31.44,2.34,0.0
20080717:1900,131.97,72.72,31.75,2.06,0.0
20080717:2000,398.56,69.34,32.06,1.78,0.0
20080717:2100,542.06,60.24,32.37,1.5,0.0
20080717:2200,228.19,49.17,31.79,1.78,0.0
20080717:2300,115.55,37.52,31.22,2.06,0.0
20080718:0000,99.62,25.72,30.65,2.33,0.0
20080718:0100,59.82,14.22,29.43,2.84,0.0
20080718:0200,4.7,3.2,28.21,3.34,0.0
20080718:0300,0.0,0.0,26.99,3.85,0.0
20080718:0400,0.0,0.0,26.14,3.54,0.0
20080718:0500,0.0,0.0,25.28,3.22,0.0
20080718:0600,0.0,0.0,24.43,2.91,0.0
20080718:0700,0.0,0.0,23.6,2.69,0.0
20080718:0800,0.0,0.0,22.77,2.46,0.0
20080718:0900,0.0,0.0,21.94,2.23,0.0
20080718:1000,0.0,0.0,21.11,2.12,0.0
20080718:1100,0.0,0.0,20.27,2.0,0.0
20080718:1200,0.0,0.0,19.44,1.89,0.0
20080718:1300,38.31,11.59,21.4,1.49,0.0
20080718:1400,99.77,23.01,23.37,1.08,0.0
20080718:1500,300.72,34.7,25.33,0.68,0.0
20080718:1600,496.22,46.4,26.87,0.66,0.0
20080718:1700,656.5,57.66,28.42,0.64,0.0
20080718:1800,721.7,67.41,29.96,0.62,0.0
20080718:1900,750.5,72.54,30.45,0.62,0.0
20080718:2000,51.13,69.2,30.93,0.62,0.0
20080718:2100,107.79,60.14,31.42,0.62,0.0
20080718:2200,364.56,49.09,30.72,0.97,0.0
20080718:2300,330.2,37.44,30.02,1.31,0.0
20080719:0000,43.26,25.64,29.32,1.66,0.0
20080719:0100,49.74,14.13,27.61,1.78,0.0
20080719:0200,9.41,3.1,25.9,1.9,1.0
20080719:0300,0.0,0.0,24.19,2.03,0.0
20080719:0400,0.0,0.0,23.26,1.9,0.0
20080719:0500,0.0,0.0,22.34,1.78,0.0
20080719:0600,0.0,0.0,21.41,1.66,0.0
20080719:0700,0.0,0.0,20.65,1.77,0.0
20080719:0800,0.0,0.0,19.89,1.89,0.0
20080719:0900,0.0,0.0,19.13,2.01,0.0
20080719:1000,0.0,0.0,18.75,2.04,0.0
20080719:1100,0.0,0.0,18.37,2.07,0.0
20080719:1200,0.0,0.0,17.99,2.1,0.0
20080719:1300,38.31,11.47,21.04,1.86,0.0
20080719:1400,102.05,22.89,24.08,1.62,0.0
20080719:1500,309.0,34.59,27.13,1.38,0.0
20080719:1600,509.02,46.28,28.88,2.01,1.0
20080719:1700,672.4,57.53,30.62,2.64,0.0
20080719:1800,781.52,67.26,32.37,3.27,0.0
20080719:1900,823.65,72.37,33.04,3.63,0.0
20080719:2000,796.24,69.06,33.71,3.99,0.0
20080719:2100,700.37,60.03,34.38,4.34,0.0
20080719:2200,547.69,49.0,33.88,4.39,0.0
20080719:2300,354.39,37.36,33.38,4.44,0.0
20080720:0000,149.23,25.55,32.88,4.48,0.0
20080720:0100,57.13,14.03,30.35,4.05,0.0
20080720:0200,10.75,2.99,27.83,3.61,0.0
20080720:0300,0.0,0.0,25.3,3.17,0.0
20080720:0400,0.0,0.0,24.05,2.72,0.0
20080720:0500,0.0,0.0,22.79,2.26,0.0
20080720:0600,0.0,0.0,21.54,1.81,0.0
20080720:0700,0.0,0.0,20.66,1.85,0.0
20080720:0800,0.0,0.0,19.78,1.9,0.0
20080720:0900,0.0,0.0,18.9,1.94,0.0
20080720:1000,0.0,0.0,18.5,2.02,0.0
20080720:1100,0.0,0.0,18.1,2.1,0.0
20080720:1200,0.0,0.0,17.7,2.18,0.0
20080720:1300,38.31,11.35,20.78,1.63,0.0
20080720:1400,116.56,22.78,23.87,1.09,0.0
20080720:1500,305.75,34.48,26.95,0.54,0.0
20080720:1600,520.7,46.17,28.71,1.48,0.0
20080720:1700,690.81,57.4,30.46,2.42,0.0
20080720:1800,803.3,67.1,32.22,3.37,0.0
20080720:1900,848.23,72.18,32.95,3.88,1.0
20080720:2000,772.63,68.91,33.69,4.4,0.0
20080720:2100,581.43,59.92,34.42,4.91,0.0
20080720:2200,563.31,48.91,33.69,4.8,0.0
20080720:2300,363.84,37.27,32.96,4.68,0.0
20080721:0000,152.53,25.45,32.23,4.57,0.0
20080721:0100,43.69,13.93,30.16,4.16,0.0
20080721:0200,18.15,2.88,28.1,3.76,0.0
20080721:0300,0.0,0.0,26.03,3.35,0.0
20080721:0400,0.0,0.0,24.61,2.99,0.0
20080721:0500,0.0,0.0,23.2,2.63,0.0
20080721:0600,0.0,0.0,21.78,2.28,0.0
20080721:0700,0.0,0.0,21.04,2.29,0.0
20080721:0800,0.0,0.0,20.3,2.31,0.0
20080721:0900,0.0,0.0,19.56,2.33,0.0
20080721:1000,0.0,0.0,19.27,2.45,0.0
20080721:1100,0.0,0.0,18.98,2.57,0.0
20080721:1200,0.0,0.0,18.69,2.69,0.0
20080721:1300,37.64,11.23,21.16,2.58,0.0
20080721:1400,102.29,22.66,23.64,2.48,0.0
20080721:1500,307.6,34.36,26.11,2.37,0.0
20080721:1600,506.5,46.05,28.24,2.14,0.0
20080721:1700,669.75,57.27,30.38,1.9,0.0
20080721:1800,777.86,66.94,32.51,1.67,0.0
20080721:1900,820.76,71.99,33.34,2.32,0.0
20080721:2000,792.62,68.75,34.17,2.97,0.0
20080721:2100,697.83,59.8,35.0,3.63,0.0
20080721:2200,545.99,48.81,34.69,3.84,0.0
20080721:2300,354.51,37.18,34.38,4.05,0.0
20080722:0000,169.44,25.36,34.07,4.26,0.0
20080722:0100,61.84,13.83,32.61,4.17,0.0
20080722:0200,8.74,2.76,31.16,4.07,0.0
20080722:0300,0.0,0.0,29.71,3.97,0.0
20080722:0400,0.0,0.0,28.2,3.35,0.0
20080722:0500,0.0,0.0,26.69,2.72,0.0
20080722:0600,0.0,0.0,25.18,2.1,0.0
20080722:0700,0.0,0.0,24.6,1.62,0.0
20080722:0800,0.0,0.0,24.02,1.15,0.0
20080722:0900,0.0,0.0,23.44,0.68,0.0
20080722:1000,0.0,0.0,22.06,1.21,0.0
20080722:1100,0.0,0.0,20.67,1.74,0.0
20080722:1200,0.0,0.0,19.29,2.28,0.0
20080722:1300,36.97,11.1,22.29,1.89,0.0
20080722:1400,102.59,22.54,25.28,1.5,0.0
20080722:1500,307.96,34.24,28.28,1.12,0.0
20080722:1600,507.14,45.93,29.82,1.92,0.0
20080722:1700,671.05,57.14,31.36,2.73,0.0
20080722:1800,779.38,66.77,32.9,3.53,0.0
20080722:1900,822.33,71.8,33.47,3.78,0.0
20080722:2000,795.64,68.58,34.04,4.03,0.0
20080722:2100,701.48,59.68,34.61,4.28,0.0
20080722:2200,550.84,48.71,34.09,4.22,0.0
20080722:2300,357.99,37.08,33.57,4.16,0.0
20080723:0000,151.99,25.25,33.06,4.1,0.0
20080723:0100,60.49,13.72,31.05,3.98,0.0
20080723:0200,10.75,2.64,29.05,3.87,0.0
20080723:0300,0.0,0.0,27.04,3.75,0.0
20080723:0400,0.0,0.0,25.78,3.26,0.0
20080723:0500,0.0,0.0,24.51,2.76,0.0
20080723:0600,0.0,0.0,23.25,2.26,0.0
20080723:0700,0.0,0.0,22.43,2.21,0.0
20080723:0800,0.0,0.0,21.6,2.15,0.0
20080723:0900,0.0,0.0,20.78,2.1,0.0
20080723:1000,0.0,0.0,20.44,2.12,0.0
20080723:1100,0.0,0.0,20.1,2.15,0.0
20080723:1200,0.0,0.0,19.76,2.18,0.0
20080723:1300,36.3,10.97,21.71,2.25,0.0
20080723:1400,102.44,22.42,23.67,2.32,0.0
20080723:1500,304.91,34.13,25.62,2.39,0.0
20080723:1600,500.88,45.81,26.44,2.07,0.0
20080723:1700,661.09,57.0,27.25,1.75,0.0
20080723:1800,406.68,66.6,28.07,1.43,0.0
20080723:1900,47.98,71.6,28.28,1.49,0.0
20080723:2000,240.93,68.41,28.5,1.54,0.0
20080723:2100,26.74,59.55,28.71,1.59,0.0
20080723:2200,40.12,48.6,27.74,1.47,0.0
20080723:2300,229.92,36.98,26.77,1.35,0.0
20080724:0000,168.3,25.14,25.8,1.23,0.0
20080724:0100,60.49,13.6,24.71,1.22,0.0
20080724:0200,8.74,2.51,23.63,1.21,0.0
20080724:0300,0.0,0.0,22.54,1.2,0.0
20080724:0400,0.0,0.0,22.1,1.21,0.0
20080724:0500,0.0,0.0,21.65,1.22,0.0
20080724:0600,0.0,0.0,21.21,1.23,0.0
20080724:0700,0.0,0.0,20.74,1.23,0.0
20080724:0800,0.0,0.0,20.26,1.23,0.0
20080724:0900,0.0,0.0,19.79,1.23,0.0
20080724:1000,0.0,0.0,19.44,1.5,0.0
20080724:1100,0.0,0.0,19.1,1.77,0.0
20080724:1200,0.0,0.0,18.75,2.04,0.0
20080724:1300,35.62,10.84,19.96,2.46,0.0
20080724:1400,103.84,22.3,21.16,2.87,0.0
20080724:1500,309.65,34.01,22.37,3.28,0.0
20080724:1600,510.31,45.68,24.65,2.82,0.0
20080724:1700,673.92,56.86,26.93,2.36,0.0
20080724:1800,782.45,66.43,29.21,1.9,0.0
20080724:1900,507.35,71.39,29.63,1.67,0.0
20080724:2000,553.54,68.24,30.06,1.44,0.0
20080724:2100,60.57,59.41,30.48,1.21,0.0
20080724:2200,267.53,48.48,30.01,1.37,0.0
20080724:2300,142.89,36.87,29.54,1.54,0.0
20080725:0000,129.3,25.03,29.08,1.7,0.0
20080725:0100,8.74,13.48,27.38,1.52,0.0
20080725:0200,0.67,2.38,25.69,1.35,0.0
20080725:0300,0.0,0.0,24.0,1.17,0.0
20080725:0400,0.0,0.0,23.34,1.2,0.0
20080725:0500,0.0,0.0,22.69,1.23,0.0
20080725:0600,0.0,0.0,22.03,1.26,0.0
20080725:0700,0.0,0.0,21.19,1.35,0.0
20080725:0800,0.0,0.0,20.35,1.45,0.0
20080725:0900,0.0,0.0,19.51,1.54,0.0
20080725:1000,0.0,0.0,19.13,1.6,0.0
20080725:1100,0.0,0.0,18.75,1.66,0.0
20080725:1200,0.0,0.0,18.37,1.71,0.0
20080725:1300,20.84,10.71,20.41,1.52,0.0
20080725:1400,132.03,22.17,22.46,1.32,0.0
20080725:1500,307.41,33.89,24.5,1.13,0.0
20080725:1600,505.47,45.56,26.62,1.54,0.0
20080725:1700,634.65,56.72,28.74,1.96,0.0
20080725:1800,674.06,66.25,30.86,2.37,0.0
20080725:1900,797.46,71.18,30.97,2.67,0.0
20080725:2000,738.58,68.05,31.07,2.96,0.0
20080725:2100,161.1,59.27,31.18,3.26,0.0
20080725:2200,17.3,48.36,29.68,3.21,0.0
20080725:2300,24.38,36.76,28.18,3.16,0.0
20080726:0000,18.88,24.91,26.68,3.12,0.0
20080726:0100,45.71,13.35,24.63,2.7,0.0
20080726:0200,4.7,2.24,22.58,2.29,0.0
20080726:0300,0.0,0.0,20.53,1.88,0.0
20080726:0400,0.0,0.0,19.61,1.82,0.0
20080726:0500,0.0,0.0,18.7,1.76,0.0
20080726:0600,0.0,0.0,17.78,1.7,0.0
20080726:0700,0.0,0.0,17.28,1.74,0.0
20080726:0800,0.0,0.0,16.77,1.79,0.0
20080726:0900,0.0,0.0,16.27,1.83,0.0
20080726:1000,0.0,0.0,16.33,1.98,0.0
20080726:1100,0.0,0.0,16.4,2.12,0.0
20080726:1200,0.0,0.0,16.46,2.26,0.0
20080726:1300,45.71,10.58,18.91,2.08,1.0
20080726:1400,130.27,22.05,21.35,1.9,0.0
20080726:1500,244.43,33.76,23.8,1.72,0.0
20080726:1600,499.68,45.43,25.6,1.69,0.0
20080726:1700,644.93,56.57,27.4,1.65,0.0
20080726:1800,725.13,66.07,29.2,1.61,0.0
20080726:1900,757.16,70.96,29.64,1.84,0.0
20080726:2000,584.41,67.86,30.09,2.06,0.0
20080726:2100,602.08,59.12,30.53,2.29,0.0
20080726:2200,161.88,48.24,30.08,2.38,0.0
20080726:2300,11.01,36.64,29.63,2.46,0.0
20080727:0000,9.44,24.78,29.19,2.55,0.0
20080727:0100,13.44,13.22,27.76,2.42,0.0
20080727:0200,1.34,2.1,26.34,2.29,0.0
20080727:0300,0.0,0.0,24.91,2.17,0.0
20080727:0400,0.0,0.0,23.51,1.98,0.0
20080727:0500,0.0,0.0,22.1,1.79,0.0
20080727:0600,0.0,0.0,20.7,1.6,0.0
20080727:0700,0.0,0.0,20.07,1.66,0.0
20080727:0800,0.0,0.0,19.43,1.71,0.0
20080727:0900,0.0,0.0,18.8,1.77,0.0
20080727:1000,0.0,0.0,18.55,1.87,0.0
20080727:1100,0.0,0.0,18.3,1.98,0.0
20080727:1200,0.0,0.0,18.05,2.08,0.0
20080727:1300,33.61,10.44,20.76,1.79,1.0
20080727:1400,104.09,21.92,23.48,1.49,0.0
20080727:1500,306.6,33.64,26.19,1.2,0.0
20080727:1600,503.62,45.3,28.06,1.34,0.0
20080727:1700,593.18,56.43,29.93,1.49,0.0
20080727:1800,773.07,65.88,31.8,1.63,0.0
20080727:1900,710.22,70.74,32.29,2.08,0.0
20080727:2000,789.37,67.67,32.79,2.53,0.0
20080727:2100,696.19,58.97,33.28,2.98,0.0
20080727:2200,546.02,48.1,32.65,3.04,0.0
20080727:2300,272.28,36.52,32.02,3.1,0.0
20080728:0000,15.73,24.65,31.39,3.16,0.0
20080728:0100,47.72,13.08,30.02,3.19,0.0
20080728:0200,4.7,1.95,28.66,3.21,0.0
20080728:0300,0.0,0.0,27.29,3.24,0.0
20080728:0400,0.0,0.0,26.19,2.85,0.0
20080728:0500,0.0,0.0,25.09,2.45,0.0
20080728:0600,0.0,0.0,23.99,2.06,0.0
20080728:0700,0.0,0.0,22.66,1.85,0.0
20080728:0800,0.0,0.0,21.34,1.65,0.0
20080728:0900,0.0,0.0,20.01,1.45,0.0
20080728:1000,0.0,0.0,19.67,1.6,0.0
20080728:1100,0.0,0.0,19.34,1.76,0.0
20080728:1200,0.0,0.0,19.0,1.92,0.0
20080728:1300,33.61,10.31,21.6,1.99,0.0
20080728:1400,106.57,21.79,24.21,2.06,0.0
20080728:1500,313.36,33.51,26.81,2.14,0.0
20080728:1600,512.75,45.17,28.46,2.22,0.0
20080728:1700,675.19,56.28,30.11,2.29,0.0
20080728:1800,753.31,65.7,31.76,2.37,0.0
20080728:1900,592.57,70.52,31.84,2.34,0.0
20080728:2000,574.18,67.47,31.93,2.3,0.0
20080728:2100,261.45,58.81,32.01,2.26,0.0
20080728:2200,66.07,47.97,31.08,2.47,0.0
20080728:2300,44.05,36.39,30.15,2.68,0.0
20080729:0000,110.94,24.52,29.22,2.88,0.0
20080729:0100,34.95,12.94,27.5,2.82,1.0
20080729:0200,2.69,1.79,25.79,2.75,1.0
20080729:0300,0.0,0.0,24.08,2.69,0.0
20080729:0400,0.0,0.0,23.42,2.27,0.0
20080729:0500,0.0,0.0,22.77,1.84,0.0
20080729:0600,0.0,0.0,22.11,1.42,0.0
20080729:0700,0.0,0.0,21.73,1.86,0.0
20080729:0800,0.0,0.0,21.34,2.29,0.0
20080729:0900,0.0,0.0,20.96,2.73,0.0
