time,G(i),H_sun,T2m,WS10m,Int
20050105:2000,219.7,27.65,1.94,0.92,0.0
20050105:2100,233.02,23.36,2.79,0.81,0.0
20050105:2200,210.13,16.6,1.21,1.13,0.0
20050105:2300,2.36,7.99,-0.37,1.45,0.0
20050106:0000,0.0,0.0,-1.96,1.77,0.0
20050106:0100,0.0,0.0,-2.68,1.37,0.0
20050106:0200,0.0,0.0,-3.41,0.97,0.0
20050106:0300,0.0,0.0,-4.13,0.58,0.0
20050106:0400,0.0,0.0,-5.29,0.86,0.0
20050106:0500,0.0,0.0,-6.45,1.14,0.0
20050106:0600,0.0,0.0,-7.61,1.42,0.0
20050106:0700,0.0,0.0,-8.02,1.85,0.0
20050106:0800,0.0,0.0,-8.44,2.29,0.0
20050106:0900,0.0,0.0,-8.85,2.72,0.0
20050106:1000,0.0,0.0,-9.24,2.93,0.0
20050106:1100,0.0,0.0,-9.63,3.14,0.0
20050106:1200,0.0,0.0,-10.03,3.35,0.0
20050106:1300,0.0,0.0,-9.94,3.27,0.0
20050106:1400,0.0,0.0,-9.86,3.2,0.0
20050106:1500,406.46,6.07,-9.77,3.12,0.0
20050106:1600,735.97,15.0,-6.4,2.98,0.0
20050106:1700,957.01,22.21,-3.02,2.84,0.0
20050106:1800,1098.28,27.09,0.36,2.7,0.0
20050106:1900,1151.76,29.04,1.03,3.31,0.0
20050106:2000,1117.5,27.78,1.7,3.92,0.0
20050106:2100,1000.65,23.5,2.36,4.52,0.0
20050106:2200,797.71,16.75,-0.24,4.29,0.0
20050106:2300,507.24,8.14,-2.84,4.05,0.0
20050107:0000,0.0,0.0,-5.45,3.81,0.0
20050107:0100,0.0,0.0,-6.26,3.59,0.0
20050107:0200,0.0,0.0,-7.07,3.37,0.0
20050107:0300,0.0,0.0,-7.88,3.16,0.0
20050107:0400,0.0,0.0,-7.9,3.05,0.0
20050107:0500,0.0,0.0,-7.93,2.95,0.0
20050107:0600,0.0,0.0,-7.95,2.84,0.0
20050107:0700,0.0,0.0,-8.18,2.86,0.0
20050107:0800,0.0,0.0,-8.4,2.87,0.0
20050107:0900,0.0,0.0,-8.63,2.88,0.0
20050107:1000,0.0,0.0,-9.26,2.88,0.0
20050107:1100,0.0,0.0,-9.88,2.88,0.0
20050107:1200,0.0,0.0,-10.51,2.88,0.0
20050107:1300,0.0,0.0,-10.94,2.85,0.0
20050107:1400,0.0,0.0,-11.36,2.81,0.0
20050107:1500,415.91,6.09,-11.79,2.77,0.0
20050107:1600,741.94,15.04,-8.25,2.53,0.0
20050107:1700,965.2,22.28,-4.71,2.29,0.0
20050107:1800,1105.53,27.18,-1.17,2.06,0.0
20050107:1900,1156.14,29.16,0.11,2.01,0.0
20050107:2000,1121.63,27.92,1.39,1.97,0.0
20050107:2100,1000.03,23.66,2.67,1.93,0.0
20050107:2200,796.99,16.9,1.1,2.14,0.0
20050107:2300,507.39,8.3,-0.47,2.35,0.0
20050108:0000,0.0,0.0,-2.05,2.57,0.0
20050108:0100,0.0,0.0,-3.99,2.6,0.0
20050108:0200,0.0,0.0,-5.94,2.63,0.0
20050108:0300,0.0,0.0,-7.88,2.66,0.0
20050108:0400,0.0,0.0,-7.94,2.94,0.0
20050108:0500,0.0,0.0,-8.0,3.22,0.0
20050108:0600,0.0,0.0,-8.06,3.5,0.0
20050108:0700,0.0,0.0,-7.94,3.58,0.0
20050108:0800,0.0,0.0,-7.82,3.66,0.0
20050108:0900,0.0,0.0,-7.7,3.74,0.0
20050108:1000,0.0,0.0,-7.26,3.82,0.0
20050108:1100,0.0,0.0,-6.82,3.9,0.0
20050108:1200,0.0,0.0,-6.39,3.99,0.0
20050108:1300,0.0,0.0,-5.95,4.08,0.0
20050108:1400,0.0,0.0,-5.5,4.18,0.0
20050108:1500,159.88,6.12,-5.06,4.28,0.0
20050108:1600,163.44,15.09,-1.2,3.93,0.0
20050108:1700,502.11,22.36,2.67,3.59,0.0
20050108:1800,383.12,27.28,6.54,3.24,0.0
20050108:1900,546.15,29.28,7.03,4.52,0.0
20050108:2000,746.42,28.07,7.52,5.81,0.0
20050108:2100,538.03,23.81,8.0,7.09,0.0
20050108:2200,514.55,17.07,5.88,6.28,0.0
20050108:2300,238.86,8.46,3.76,5.47,0.0
20050109:0000,0.0,0.0,1.64,4.66,0.0
20050109:0100,0.0,0.0,0.72,4.22,0.0
20050109:0200,0.0,0.0,-0.21,3.77,0.0
20050109:0300,0.0,0.0,-1.13,3.32,0.0
20050109:0400,0.0,0.0,-1.21,3.36,0.0
20050109:0500,0.0,0.0,-1.3,3.4,0.0
20050109:0600,0.0,0.0,-1.38,3.43,0.0
20050109:0700,0.0,0.0,-0.65,3.84,0.0
20050109:0800,0.0,0.0,0.09,4.25,0.0
